model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 4B,Stochastic,run_1,Uncertainty,Testimony,False,191,47,0.24607329842931938,0.5863874345549738,0.5549738219895288,0.7561489218328841
Gemma 4 4B,Stochastic,run_1,Uncertainty,SocialJudgment,False,191,40,0.2094240837696335,0.5863874345549738,0.5078534031413613,0.703240058910162
Gemma 4 4B,Stochastic,run_1,Uncertainty,Behavioral,False,191,23,0.12041884816753927,0.5863874345549738,0.24607329842931938,0.8345364741641338
Gemma 4 4B,Stochastic,run_1,Uncertainty,ClaimComparison,False,191,8,0.041884816753926704,0.5863874345549738,0.12041884816753927,0.5931677018633541
Gemma 4 4B,Stochastic,run_1,Uncertainty,Payoff,False,191,52,0.27225130890052357,0.5863874345549738,0.6020942408376964,0.7711180124223603
Gemma 4 4B,Stochastic,run_1,Uncertainty,Uncertainty,True,191,112,0.5863874345549738,0.5863874345549738,0.5863874345549738,
Gemma 4 4B,Stochastic,run_2,Mechanical,Mechanical,True,191,18,0.09424083769633508,0.09424083769633508,0.09424083769633508,
Gemma 4 4B,Stochastic,run_2,Mechanical,Testimony,False,191,11,0.05759162303664921,0.09424083769633508,0.5968586387434555,1.023879142300195
Gemma 4 4B,Stochastic,run_2,Mechanical,SocialJudgment,False,191,4,0.020942408376963352,0.09424083769633508,0.5078534031413613,0.4375715922107674
Gemma 4 4B,Stochastic,run_2,Mechanical,Behavioral,False,191,2,0.010471204188481676,0.09424083769633508,0.21465968586387435,0.5176151761517616
Gemma 4 4B,Stochastic,run_2,Mechanical,ClaimComparison,False,191,1,0.005235602094240838,0.09424083769633508,0.06806282722513089,0.8162393162393162
Gemma 4 4B,Stochastic,run_2,Mechanical,Payoff,False,191,12,0.06282722513089005,0.09424083769633508,0.6387434554973822,1.0437158469945353
Gemma 4 4B,Stochastic,run_2,Mechanical,Uncertainty,False,191,8,0.041884816753926704,0.09424083769633508,0.5863874345549738,0.757936507936508
Gemma 4 4B,Stochastic,run_2,Testimony,Mechanical,False,191,11,0.05759162303664921,0.5968586387434555,0.09424083769633508,1.023879142300195
Gemma 4 4B,Stochastic,run_2,Testimony,Testimony,True,191,114,0.5968586387434555,0.5968586387434555,0.5968586387434555,
Gemma 4 4B,Stochastic,run_2,Testimony,SocialJudgment,False,191,62,0.32460732984293195,0.5968586387434555,0.5078534031413613,1.070898896726352
Gemma 4 4B,Stochastic,run_2,Testimony,Behavioral,False,191,33,0.17277486910994763,0.5968586387434555,0.21465968586387435,1.3485237483953787
Gemma 4 4B,Stochastic,run_2,Testimony,ClaimComparison,False,191,12,0.06282722513089005,0.5968586387434555,0.06806282722513089,1.5465587044534412
Gemma 4 4B,Stochastic,run_2,Testimony,Payoff,False,191,94,0.49214659685863876,0.5968586387434555,0.6387434554973822,1.2909117054932413
Gemma 4 4B,Stochastic,run_2,Testimony,Uncertainty,False,191,48,0.2513089005235602,0.5968586387434555,0.5863874345549738,0.7180451127819549
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Mechanical,False,191,4,0.020942408376963352,0.5078534031413613,0.09424083769633508,0.4375715922107674
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Testimony,False,191,62,0.32460732984293195,0.5078534031413613,0.5968586387434555,1.070898896726352
Gemma 4 4B,Stochastic,run_2,SocialJudgment,SocialJudgment,True,191,97,0.5078534031413613,0.5078534031413613,0.5078534031413613,
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Behavioral,False,191,25,0.13089005235602094,0.5078534031413613,0.21465968586387435,1.2006537591149105
Gemma 4 4B,Stochastic,run_2,SocialJudgment,ClaimComparison,False,191,4,0.020942408376963352,0.5078534031413613,0.06806282722513089,0.605868358445678
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Payoff,False,191,74,0.387434554973822,0.5078534031413613,0.6387434554973822,1.1943552475916848
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Uncertainty,False,191,45,0.2356020942408377,0.5078534031413613,0.5863874345549738,0.7911450662739322
Gemma 4 4B,Stochastic,run_2,Behavioral,Mechanical,False,191,2,0.010471204188481676,0.21465968586387435,0.09424083769633508,0.5176151761517616
Gemma 4 4B,Stochastic,run_2,Behavioral,Testimony,False,191,33,0.17277486910994763,0.21465968586387435,0.5968586387434555,1.3485237483953787
Gemma 4 4B,Stochastic,run_2,Behavioral,SocialJudgment,False,191,25,0.13089005235602094,0.21465968586387435,0.5078534031413613,1.2006537591149105
Gemma 4 4B,Stochastic,run_2,Behavioral,Behavioral,True,191,41,0.21465968586387435,0.21465968586387435,0.21465968586387435,
Gemma 4 4B,Stochastic,run_2,Behavioral,ClaimComparison,False,191,7,0.03664921465968586,0.21465968586387435,0.06806282722513089,2.5084427767354596
Gemma 4 4B,Stochastic,run_2,Behavioral,Payoff,False,191,30,0.15706806282722513,0.21465968586387435,0.6387434554973822,1.1455417832866852
Gemma 4 4B,Stochastic,run_2,Behavioral,Uncertainty,False,191,23,0.12041884816753927,0.21465968586387435,0.5863874345549738,0.9566637630662023
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Mechanical,False,191,1,0.005235602094240838,0.06806282722513089,0.09424083769633508,0.8162393162393162
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Testimony,False,191,12,0.06282722513089005,0.06806282722513089,0.5968586387434555,1.5465587044534412
Gemma 4 4B,Stochastic,run_2,ClaimComparison,SocialJudgment,False,191,4,0.020942408376963352,0.06806282722513089,0.5078534031413613,0.605868358445678
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Behavioral,False,191,7,0.03664921465968586,0.06806282722513089,0.21465968586387435,2.5084427767354596
Gemma 4 4B,Stochastic,run_2,ClaimComparison,ClaimComparison,True,191,13,0.06806282722513089,0.06806282722513089,0.06806282722513089,
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Payoff,False,191,9,0.04712041884816754,0.06806282722513089,0.6387434554973822,1.083858764186633
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Uncertainty,False,191,5,0.02617801047120419,0.06806282722513089,0.5863874345549738,0.6559065934065934
Gemma 4 4B,Stochastic,run_2,Payoff,Mechanical,False,191,12,0.06282722513089005,0.6387434554973822,0.09424083769633508,1.0437158469945353
Gemma 4 4B,Stochastic,run_2,Payoff,Testimony,False,191,94,0.49214659685863876,0.6387434554973822,0.5968586387434555,1.2909117054932413
Gemma 4 4B,Stochastic,run_2,Payoff,SocialJudgment,False,191,74,0.387434554973822,0.6387434554973822,0.5078534031413613,1.1943552475916848
Gemma 4 4B,Stochastic,run_2,Payoff,Behavioral,False,191,30,0.15706806282722513,0.6387434554973822,0.21465968586387435,1.1455417832866852
Gemma 4 4B,Stochastic,run_2,Payoff,ClaimComparison,False,191,9,0.04712041884816754,0.6387434554973822,0.06806282722513089,1.083858764186633
Gemma 4 4B,Stochastic,run_2,Payoff,Payoff,True,191,122,0.6387434554973822,0.6387434554973822,0.6387434554973822,
Gemma 4 4B,Stochastic,run_2,Payoff,Uncertainty,False,191,48,0.2513089005235602,0.6387434554973822,0.5863874345549738,0.67096018735363
Gemma 4 4B,Stochastic,run_2,Uncertainty,Mechanical,False,191,8,0.041884816753926704,0.5863874345549738,0.09424083769633508,0.757936507936508
Gemma 4 4B,Stochastic,run_2,Uncertainty,Testimony,False,191,48,0.2513089005235602,0.5863874345549738,0.5968586387434555,0.7180451127819549
Gemma 4 4B,Stochastic,run_2,Uncertainty,SocialJudgment,False,191,45,0.2356020942408377,0.5863874345549738,0.5078534031413613,0.7911450662739322
Gemma 4 4B,Stochastic,run_2,Uncertainty,Behavioral,False,191,23,0.12041884816753927,0.5863874345549738,0.21465968586387435,0.9566637630662023
Gemma 4 4B,Stochastic,run_2,Uncertainty,ClaimComparison,False,191,5,0.02617801047120419,0.5863874345549738,0.06806282722513089,0.6559065934065934
Gemma 4 4B,Stochastic,run_2,Uncertainty,Payoff,False,191,48,0.2513089005235602,0.5863874345549738,0.6387434554973822,0.67096018735363
Gemma 4 4B,Stochastic,run_2,Uncertainty,Uncertainty,True,191,112,0.5863874345549738,0.5863874345549738,0.5863874345549738,
Gemma 4 4B,Stochastic,run_3,Mechanical,Mechanical,True,191,14,0.07329842931937172,0.07329842931937172,0.07329842931937172,
Gemma 4 4B,Stochastic,run_3,Mechanical,Testimony,False,191,11,0.05759162303664921,0.07329842931937172,0.5759162303664922,1.3642857142857143
Gemma 4 4B,Stochastic,run_3,Mechanical,SocialJudgment,False,191,6,0.031413612565445025,0.07329842931937172,0.518324607329843,0.8268398268398267
Gemma 4 4B,Stochastic,run_3,Mechanical,Behavioral,False,191,1,0.005235602094240838,0.07329842931937172,0.29842931937172773,0.23934837092731834
Gemma 4 4B,Stochastic,run_3,Mechanical,ClaimComparison,False,191,3,0.015706806282722512,0.07329842931937172,0.1099476439790576,1.9489795918367347
Gemma 4 4B,Stochastic,run_3,Mechanical,Payoff,False,191,12,0.06282722513089005,0.07329842931937172,0.6596858638743456,1.2993197278911566
Gemma 4 4B,Stochastic,run_3,Mechanical,Uncertainty,False,191,6,0.031413612565445025,0.07329842931937172,0.5497382198952879,0.7795918367346939
Gemma 4 4B,Stochastic,run_3,Testimony,Mechanical,False,191,11,0.05759162303664921,0.5759162303664922,0.07329842931937172,1.3642857142857143
Gemma 4 4B,Stochastic,run_3,Testimony,Testimony,True,191,110,0.5759162303664922,0.5759162303664922,0.5759162303664922,
Gemma 4 4B,Stochastic,run_3,Testimony,SocialJudgment,False,191,64,0.33507853403141363,0.5759162303664922,0.518324607329843,1.1224977043158861
Gemma 4 4B,Stochastic,run_3,Testimony,Behavioral,False,191,34,0.17801047120418848,0.5759162303664922,0.29842931937172773,1.035725677830941
Gemma 4 4B,Stochastic,run_3,Testimony,ClaimComparison,False,191,21,0.1099476439790576,0.5759162303664922,0.1099476439790576,1.736363636363636
Gemma 4 4B,Stochastic,run_3,Testimony,Payoff,False,191,91,0.47643979057591623,0.5759162303664922,0.6596858638743456,1.2540404040404038
Gemma 4 4B,Stochastic,run_3,Testimony,Uncertainty,False,191,36,0.18848167539267016,0.5759162303664922,0.5497382198952879,0.5953246753246753
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Mechanical,False,191,6,0.031413612565445025,0.518324607329843,0.07329842931937172,0.8268398268398267
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Testimony,False,191,64,0.33507853403141363,0.518324607329843,0.5759162303664922,1.1224977043158861
Gemma 4 4B,Stochastic,run_3,SocialJudgment,SocialJudgment,True,191,99,0.518324607329843,0.518324607329843,0.518324607329843,
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Behavioral,False,191,35,0.18324607329842932,0.518324607329843,0.29842931937172773,1.1846535530746056
Gemma 4 4B,Stochastic,run_3,SocialJudgment,ClaimComparison,False,191,6,0.031413612565445025,0.518324607329843,0.1099476439790576,0.5512265512265512
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Payoff,False,191,79,0.41361256544502617,0.518324607329843,0.6596858638743456,1.209636042969376
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Uncertainty,False,191,47,0.24607329842931938,0.518324607329843,0.5497382198952879,0.8635882635882637
Gemma 4 4B,Stochastic,run_3,Behavioral,Mechanical,False,191,1,0.005235602094240838,0.29842931937172773,0.07329842931937172,0.23934837092731834
Gemma 4 4B,Stochastic,run_3,Behavioral,Testimony,False,191,34,0.17801047120418848,0.29842931937172773,0.5759162303664922,1.035725677830941
Gemma 4 4B,Stochastic,run_3,Behavioral,SocialJudgment,False,191,35,0.18324607329842932,0.29842931937172773,0.518324607329843,1.1846535530746056
Gemma 4 4B,Stochastic,run_3,Behavioral,Behavioral,True,191,57,0.29842931937172773,0.29842931937172773,0.29842931937172773,
Gemma 4 4B,Stochastic,run_3,Behavioral,ClaimComparison,False,191,9,0.04712041884816754,0.29842931937172773,0.1099476439790576,1.4360902255639096
Gemma 4 4B,Stochastic,run_3,Behavioral,Payoff,False,191,38,0.19895287958115182,0.29842931937172773,0.6596858638743456,1.0105820105820105
Gemma 4 4B,Stochastic,run_3,Behavioral,Uncertainty,False,191,28,0.14659685863874344,0.29842931937172773,0.5497382198952879,0.8935672514619883
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Mechanical,False,191,3,0.015706806282722512,0.1099476439790576,0.07329842931937172,1.9489795918367347
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Testimony,False,191,21,0.1099476439790576,0.1099476439790576,0.5759162303664922,1.736363636363636
Gemma 4 4B,Stochastic,run_3,ClaimComparison,SocialJudgment,False,191,6,0.031413612565445025,0.1099476439790576,0.518324607329843,0.5512265512265512
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Behavioral,False,191,9,0.04712041884816754,0.1099476439790576,0.29842931937172773,1.4360902255639096
Gemma 4 4B,Stochastic,run_3,ClaimComparison,ClaimComparison,True,191,21,0.1099476439790576,0.1099476439790576,0.1099476439790576,
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Payoff,False,191,18,0.09424083769633508,0.1099476439790576,0.6596858638743456,1.2993197278911564
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Uncertainty,False,191,7,0.03664921465968586,0.1099476439790576,0.5497382198952879,0.6063492063492063
Gemma 4 4B,Stochastic,run_3,Payoff,Mechanical,False,191,12,0.06282722513089005,0.6596858638743456,0.07329842931937172,1.2993197278911566
Gemma 4 4B,Stochastic,run_3,Payoff,Testimony,False,191,91,0.47643979057591623,0.6596858638743456,0.5759162303664922,1.2540404040404038
Gemma 4 4B,Stochastic,run_3,Payoff,SocialJudgment,False,191,79,0.41361256544502617,0.6596858638743456,0.518324607329843,1.209636042969376
Gemma 4 4B,Stochastic,run_3,Payoff,Behavioral,False,191,38,0.19895287958115182,0.6596858638743456,0.29842931937172773,1.0105820105820105
Gemma 4 4B,Stochastic,run_3,Payoff,ClaimComparison,False,191,18,0.09424083769633508,0.6596858638743456,0.1099476439790576,1.2993197278911564
Gemma 4 4B,Stochastic,run_3,Payoff,Payoff,True,191,126,0.6596858638743456,0.6596858638743456,0.6596858638743456,
Gemma 4 4B,Stochastic,run_3,Payoff,Uncertainty,False,191,48,0.2513089005235602,0.6596858638743456,0.5497382198952879,0.69297052154195
Gemma 4 4B,Stochastic,run_3,Uncertainty,Mechanical,False,191,6,0.031413612565445025,0.5497382198952879,0.07329842931937172,0.7795918367346939
Gemma 4 4B,Stochastic,run_3,Uncertainty,Testimony,False,191,36,0.18848167539267016,0.5497382198952879,0.5759162303664922,0.5953246753246753
Gemma 4 4B,Stochastic,run_3,Uncertainty,SocialJudgment,False,191,47,0.24607329842931938,0.5497382198952879,0.518324607329843,0.8635882635882637
Gemma 4 4B,Stochastic,run_3,Uncertainty,Behavioral,False,191,28,0.14659685863874344,0.5497382198952879,0.29842931937172773,0.8935672514619883
Gemma 4 4B,Stochastic,run_3,Uncertainty,ClaimComparison,False,191,7,0.03664921465968586,0.5497382198952879,0.1099476439790576,0.6063492063492063
Gemma 4 4B,Stochastic,run_3,Uncertainty,Payoff,False,191,48,0.2513089005235602,0.5497382198952879,0.6596858638743456,0.69297052154195
Gemma 4 4B,Stochastic,run_3,Uncertainty,Uncertainty,True,191,105,0.5497382198952879,0.5497382198952879,0.5497382198952879,
